JP title,JP Body text,Url (JP),Url (eng),English Title,English Body
クリスマスツリー、都内で既に発見される,"ハロウィンの騒ぎが終わってから24時間もたたないうちに、クリスマスツリーが都内で発見された。
地元市民によると、クリスマスツリーを飾るにもかかわらずクリスマス自体は祝わないとのこと。
「もうクリスマスの時期ですか」と町中を歩く人は白いクリスマスツリーを見て言った。
セクシーなカボチャの仮装をして渋谷で朝まで遊んでいた松尾文子（27）さんは、「チキンが食べたい」とクリスマスツリーを見ながら言った。
松尾さんは帰宅途中にKFCに立ち寄り、ワム！の「ラスト・クリスマス」を聞きながらチキンを食べた。
翻訳: Yuki
[
]",https://www.therisingwasabi.com/christmas-tree-already-spotted-jp/,https://www.therisingwasabi.com/christmas-tree-already-spotted/,Christmas Tree Already Spotted,"A Christmas tree has been spotted in Japan less than 24 hours after Halloween festivities officially came to a close.
Despite the tree, Japan doesn’t celebrate Christmas either, according to local sources.
“Oh sweet baby Jesus,” said one pedestrian as they walked by the white Christmas tree, “Is it that time already?”
Another woman, 27-year-old Fumiko Matsujiro, fully decked out as a sexy pumpkin on her way back from a heavy night out in Shibuya, saw the tree and thought, “I’m hungry for chicken”.
Matsujiro stopped into KFC on the way home and ate chicken while listening to “Last Christmas” by Wham!
Image: Flickr/
[
]"
革新的な企業、給料を上げ人手不足を解消,"人口が減少する中で、企業は求職者を集めるのに新しい手法を必要としている。ある企業は、画期的な戦略で採用募集をしていることが分かった。
Namawiroの川端健太CEOは、「当社の戦略は高い給料を提示することです。これは革新的な手法です」と語る。
この革新的で新しいアプローチによって、今月は既に3倍の求人が集まった。
雇用保障や良い給与体制などがない「自由な勤務時間」は、雇用者の間で過去10年間キーワードになっていた。
「給料を上げることで求人が集まるなんて、誰が思いついただろう」と川端CEOは語る。
翻訳: Yuki

Image: Reuters
[
]",https://www.therisingwasabi.com/groundbreaking-japanese-company-eases-labor-shortage-by-increasing-wages-jp/,https://www.therisingwasabi.com/groundbreaking-japanese-company-eases-labor-shortage-by-increasing-wages/,Groundbreaking Japanese Company Eases Labor Shortage By Increasing Wages,"As Japan’s population dwindles, its companies are being forced to change how they attract job seekers and one company has formulated a groundbreaking new strategy.
“It’s revolutionary,” says Namajiro Co. CEO Kenta Kawabata.
“What we are doing is we are offering higher wages.”
The innovative new approach has already reaped rewards for the organization with a tripling of job applications this month.
Flexible working hours, also known as casual labor, has been the main selling point for employers in Japan for the past decade, with such perks replacing job security and other wage benefits.
“Who would have thought a job would be more popular by paying more money,” says Kawabata.
Image: Reuters
[
]








"
通勤男性、残金不足で公開羞恥刑,"不注意な通勤中の男性は19日、池袋駅で券売機に向かいながら自分のICカードの残金不足を痛感した。
男性は「私の過ちを真摯にお詫びします」という表情をしつつ頭を下げ、改札口を反対方向に歩いた。
しかし男性の深い後悔の表情は、隣の改札口を強制的に通ることになった人たちの苦痛を和らげることはなかった。
隣の改札口を使うことによって2秒も時間を失った通勤者の1人は「この馬鹿なヤツ、まじで何してんの」と男性をにらみつけた。
男性はSuicaに3,000円の入金をし、この先1週間だけは同じような過ちが起こらないようにした。
翻訳: Yuki
[
]",https://www.therisingwasabi.com/commuter-begins-insufficient-funds-walk-of-shame-jp/,https://www.therisingwasabi.com/commuter-begins-insufficient-funds-walk-of-shame/,Commuter Begins Insufficient Funds Walk Of Shame,"A reckless commuter entering Ikebukuro Station yesterday was forced to reflect on the insufficient funds in his IC Card during the long walk back to the ticket machines.
“I unreservedly apologize for the error of my ways,” the man expressed through his facial reactions as he bowed his way back through the barriers .
The remorse shown by the man failed to ease the pain of the oncoming commuters who had no choice but to shift over to the next ticket gate.
“I mean seriously, what is this jerkoff doing?” thought one commuter who lost at least two seconds repositioning herself into a different barrier lane.
The man topped up his Suica with another 3,000 yen ensuring a reoccurrence of the incident would never happen again for at least one week.
[
]"
【沖縄の天気予報】曇り時々ヘリコプター,"本日、沖縄地方は乾燥した心地よい風が吹き、30%の確率で米軍の窓が降る予想です。
夜は気温が11度まで落ち込み、オスプレイが降る確率がわずかにあります。
この状態は土曜日まで続く見込みで、耐弾用チタン合金の傘が必要です。
日曜日は強風になり、月曜日には謝罪の可能性が高い予想です。
翻訳: Yuki
Image: 
[
]",https://www.therisingwasabi.com/okinawa-mostly-cloudy-jp/,https://www.therisingwasabi.com/okinawa-mostly-cloudy-with-a-chance-of-helicopter/,Okinawa: Mostly Cloudy With A Chance Of Helicopter,"Friday will be mainly dry with freshening winds and a 30 per cent chance of military grade windows.
Lows Friday night should drop to 11 degrees and a slight possibility of Ospreys.
Similar patterns will continue on Saturday. A bulletproof titanium umbrella is advised.
Sunday will be dangerously blustery with a high chance of apologies on Monday.
Image: 
[
]"
サイバーセキュリティ担当桜田大臣「FAXしか使わない」,"サイバーセキュリティ戦略本部担当大臣を兼任している桜田義孝オリンピック・パラリンピック担当大臣（68）は、衆院内閣委員会でFAXしか使ったことがないと発言した。
この事実は、パソコンに熟知しているか尋ねられた時に判明した。
桜田大臣は「えぇぇぇ。あぁぁぁ。知りません」と答えた。
さらに「パソコンは一度も使ったことはないが、最先端FAXのセキュリティーは熟知している」と続けた。
桜田大臣は五輪相でありつつも、運動したこともなく障がい者と会話したこともない。
桜田大臣は記者に対し「ダーツをしたことがある」と答えた。
2016年に失言担当大臣だった桜田議員は、慰安婦を「売春婦」と呼んでいるが、この分野に関しては専門知識を持っていると言われている。
桜田大臣は、通勤時にソフトコアの漫画を読んでいるためインターネットはいらないと主張する。
翻訳: Yuki

Image: ABC
[
]",https://www.therisingwasabi.com/i-only-use-fax-machines-says-japans-minister-in-charge-of-cybersecurity-jp/,https://www.therisingwasabi.com/i-only-use-fax-machines-says-japans-minister-in-charge-of-cybersecurity/,"“I Only Use Fax Machines,” Says Japan’s Minister In Charge Of Cybersecurity","The Japanese government minister in charge of major changes to a key cyber security law has admitted he only uses fax machines.
Yoshitaka Sakurada made the revelation while being questioned by a lower house parliamentary committee saying he is only proficient in facsimile-based technology.
Asked if he used a computer, Sakurada replied, “Eeeeeetone, iya, chigaimasu.”
“I’ve never used a computer but I am responsible for cutting edge fax security,” he said.
Sakurada is also the minister responsible for the 2020 Olympic and Paralympic Games, despite never having played sport or conversed with a disabled person.
“I have played darts,” Sakurada told reporters.
Sakurada was also the minister for a gaffe in 2016 in which he described comfort women, who were forced to work in Japan’s wartime brothels, as “prostitutes” – although he does allegedly have expertise in this field.
Sakurada says he does not need the “internets” because he reads soft porn manga on his way to and from work.
Image: ABC
[
]"
一日中何もしなかった男性「お疲れ様です」と言われる,"日曜日に何もしなかった男性が「お疲れ様です」と言われたことが分かった。
ロン・バーディー（29）さんは「お疲れ様です」といきなり言われ罪悪感を覚えたが、とっさに「お疲れ様です」と言い返した。
その後「一日中ソファーでごろごろしていただけなのに。お疲れ様なんて言われる資格なんてない・・・」とつぶやいた。
翻訳: Yuki
[
]",https://www.therisingwasabi.com/man-doing-bugger-all-receives-an-otsukaresama-desu-jp/,https://www.therisingwasabi.com/man-doing-bugger-all-receives-an-otsukaresama-desu/,Man Doing Bugger All Receives An “Otsukaresama Desu”,"A man who spent all of his Sunday lazing about was the recipient of an “otsukaresama desu”.
“Otsukaresama desu” roughly translated into English means, “
”.
29-year-old Rob Vardy felt some sense of guilt receiving an impromptu “otsukaresama”, but promptly replied with an “otsukaresama” of his own.
“All I did all day was sit on this sofa,” says Vardy.
“I did nothing to deserve this gratitude.”
[
]








"
大阪の男性、2025年万博開催,"大阪の男性が、ロシアとアゼルバイジャンを破り、2025年の国際博覧会を開催することが決まった。
万博には、何百万人もの来場客が海外から来ることが想定されており、男性たちは女性の力借りずに万博の運営ができることを証明する予定。
小さな部屋に100人以上の日本人男性が缶詰になり、結果を待っていた。BIE加盟国（170カ国）の代表による投票で大阪が選ばれた瞬間、廊下まで聞こえる程の雄叫びがあがった。
「男だー!!!」と世耕経産大臣は叫んだ。
安倍首相（男性）は、「若くて魅力的な女性」をボランティアとして集めるために「最大の努力」をすると述べた。
翻訳: Yuki

Image: AP
[
]",https://www.therisingwasabi.com/osaka-men-to-host-2025-world-expo-jp/,https://www.therisingwasabi.com/osaka-men-to-host-2025-world-expo/,Osaka Men To Host 2025 World Expo,"Males from the Japanese city of Osaka will host the World Expo in 2025, after getting the nod ahead of cities in Russia and Azerbaijan.
The expo is expected to attract millions of overseas visitors and showcase how men can manage an event without the help of any females.
Shrieks of joy from over 100 Japanese men crammed into a small room could be heard throughout the Paris auditorium after the 170 member states voted in favor of Osaka.
“MEN!!!” shouted Japan’s male economy and trade minister Hiroshige Seko.
Japan’s prime minister, Shinzo Abe, who is also male, said in a statement that the country will make “an utmost effort” to fill the volunteer quota with “attractive young females”.
Image: AP
[
]"
安倍首相、なぜこの白人が英語を話さないのか今だに理解できない,"シンガポールで開催されている東南アジア諸国連合（ASEAN）関連首脳会議に出席している安倍晋三首相は、14日の午後、ロシアのプーチン大統領と日露首脳会談を行ったが、引き続きプーチン大統領の母国語が何か分かっていない。
厳密に言えばいまだにロシアと戦争中のため、安倍首相はプーチン大統領と平和条約を議論することを試みた。安倍首相が選んだ言語は、英語だった。
安倍首相は、指でピースをしながら、プーチン大統領に「Peace? You. Me. Peace?（平和？あなた。私。平和？）」と言った。
プーチン大統領は「安倍首相が優先事項だと考えている物事も含め、ロシアがどのように協力できるかこの場を使って話せることを嬉しく思う」とロシア語で答えた。
「ピース？」と安倍首相は答えた。
プーチン大統領は安倍首相を凝視した。
さらに安倍首相は「英語はロシアを持っていますか？」と英語で問いかけた。
プーチン大統領の通訳者は、平和のために翻訳をしなかった。
安倍首相は、会談の最後にプーチン大統領に「美しいロシア人女性たち」に関して感謝の意を表した。
「ロシアのおかげで、スナックが人手不足になることはない」と言った。
翻訳: Yuki

Image: AFP
[
]",https://www.therisingwasabi.com/abe-still-unsure-why-white-man-doesnt-english-jp/,https://www.therisingwasabi.com/abe-still-unsure-why-white-man-doesnt-english/,Abe Still Unsure Why White Man Doesn’t Speak English,"Japanese Prime Minister Shinzo Abe met face-to-face with Vladimir Putin on the sidelines of the regional Association of Southeast Asian Nations (ASEAN) summit in Singapore on Wednesday still wary about the truth of the white man’s native tongue.
Abe said he was willing to try to discuss a peace treaty with Russia in English one more time, with the two countries still technically at war with each other.
“Peace? You. Me. Peace?” Abe said to Putin while holding up the two-fingered peace sign.
“I am delighted to be able to discuss with you all the angles of our cooperation, including those that you personally consider to be priorities,” Putin replied to Abe in Russian.
“Peace, no?” Abe persisted.
Putin stared at Abe.
“Do you have English in your country?” Abe continued.
The Russian translator chose not to translate this question for the sake of peace.
Abe finished the meeting by thanking Putin for “all the beautiful women”.
“Thanks to Russia, no labor shortage in hostess bars.”
Image: AFP
[
]"
人気都市にランクインした東京、京都、大阪の魅力が減少,"米旅行誌「コンデ・ナスト・トラベラー」が発表した米国外で最も人気な都市ランキングで、東京が3年連続で1位に選ばれた。この結果により、東京は先数カ月で魅力が減少することが予想される。
2位にランクインした京都、12位の大阪も同様に魅力が下がることが想定される。
日本在住歴5年のラヴィ・パスディットさんは「これでまた外人が増える」とため息をついた。
「この先数カ月で60万人もの訪日外国人が来ることによって、私はただの外人の1人になるだろう」と語った。
またこの発表をきっかけに、在日外国人の間で東京と大阪のどちらがより魅力的かという議論が引き起った。
東京に住む外国人は「東京の方が素敵だ」とコメントした。
大坂の外国人は「大阪は人がフレンドリーだ」と言った。
さらに「東京の方が見るものが沢山ある」と東京の外国人は反論し、両者とも説得力のある議論を続けた。
翻訳: Yuki

Image: Flickr/johnji
[
]",https://www.therisingwasabi.com/tokyo-kyoto-osaka-top-city-rankings-just-made-them-a-bit-shitter-jp/,https://www.therisingwasabi.com/tokyo-kyoto-osaka-top-city-rankings-just-made-them-a-bit-shitter/,"Tokyo, Kyoto, Osaka Top City Rankings Just Made Them A Bit Shitter","Tokyo has been named the world’s best big city outside the United States for the third year in a row, according to US travel magazine Conde Nast Traveler, which will make Tokyo just that little bit shitter over the coming months.
Kyoto, ranked at second, and Osaka, ranked at 12
, will also become a bit more shit respectively.
“This can only mean one thing – more foreigners,” says 5-years-a-gaijin Ravi Pasdit.
“I will become about 600,000 foreign tourists less special over the next few months.”
The latest city rankings have also triggered a debate amongst gaijin living in Japan over whether Tokyo or Osaka are “better”.
“Tokyo is better,” says one foreigner living in Tokyo.
“Nah, Osaka is better because they are more friendly,” says another foreigner living in Osaka.
“Nah, Tokyo is better because there is more to do,” says the same foreigner living in Tokyo.
Both foreigners make very compelling arguments.
Image: Flickr/
[
]








"
会社員男性、自分の土産を食す,"16日午後、小腹が空いた東京都港区の会社員男性が、同僚のために買ってきた土産を自ら食べたことが分かった。
中田洋二さん(39)は「1袋目の白い恋人を完食した後は、どうでもよくなっていた。1つだろうが2つだろうが変わりはしない」と証言した。
18袋入りの白い恋人の箱を午後3時に開封し、3時2分には2袋目に手を付けていた。
当初は、特定の人に対して買ったものではないと自分に言い聞かせていたが、心の底では凶悪行為を犯したことを認識していた。
「もう罪悪感に耐え切れない。中田家の名前に泥を塗った気持ちだ」と5袋目の袋を開けつつ言った。
最終的に白い恋人の大半を食べた中田さんは、罪の意識を和らげるために数人の同僚に余りを配った。
翻訳: Yuki
Image: Flickr/
[
]",https://www.therisingwasabi.com/man-eats-his-own-omiyage-jp/,https://www.therisingwasabi.com/man-eats-his-own-omiyage/,Man Eats His Own Omiyage,"A 39-year-old Tokyo resident feeling rather peckish yesterday afternoon has eaten several packets of his own omiyage that were intended for other people.
“After I ate the first White Lover, I was like, I’ve started now, what frickin difference does it make, I’ll have another,” said Minato Ward salaryman Gaman Dekizu.
Dekizu opened the 18-packet box at around 3:00 p.m. and started eating his second White Lover at around 3:02 p.m.
Dekizu initially justified his actions by telling himself the omiyage wasn’t really intended for anyone specific, however, deep down he knew he was committing a heinous act.
“The guilt I’m feeling now is unbearable – I feel like I’ve shamed the Dekizu family line,” Dekizu said while opening the fifth packet.
Dekizu is expected to eat the majority of the White Lovers but hand out a few to random friends in singular form to at least alleviate some of the guilt.
Image: Flickr/
[
]"
